date,fips,name,state,cases,deaths,code_sm
4/15/20,45001,Abbeville,South Carolina,10,0,sc
4/15/20,22001,Acadia,Louisiana,105,5,la
4/15/20,51001,Accomack,Virginia,15,0,va
4/15/20,16001,Ada,Idaho,540,9,id
4/15/20,19001,Adair,Iowa,1,0,ia
4/15/20,21001,Adair,Kentucky,45,2,ky
4/15/20,29001,Adair,Missouri,12,0,mo
4/15/20,40001,Adair,Oklahoma,29,3,ok
4/15/20,8001,Adams,Colorado,758,28,co
4/15/20,16003,Adams,Idaho,1,0,id
4/15/20,17001,Adams,Illinois,27,0,il
4/15/20,18001,Adams,Indiana,6,1,in
4/15/20,28001,Adams,Mississippi,64,3,ms
4/15/20,31001,Adams,Nebraska,65,0,ne
4/15/20,39001,Adams,Ohio,3,0,oh
4/15/20,42001,Adams,Pennsylvania,64,1,pa
4/15/20,53001,Adams,Washington,40,0,wa
4/15/20,55001,Adams,Wisconsin,3,1,wi
4/15/20,50001,Addison,Vermont,56,1,vt
4/15/20,45003,Aiken,South Carolina,60,3,sc
4/15/20,12001,Alachua,Florida,196,0,fl
4/15/20,37001,Alamance,North Carolina,42,0,nc
4/15/20,6001,Alameda,California,983,36,ca
4/15/20,8003,Alamosa,Colorado,7,2,co
4/15/20,36001,Albany,New York,548,26,ny
4/15/20,56001,Albany,Wyoming,5,0,wy
4/15/20,51003,Albemarle,Virginia,53,0,va
4/15/20,26001,Alcona,Michigan,1,0,mi
4/15/20,28003,Alcorn,Mississippi,7,0,ms
4/15/20,37003,Alexander,North Carolina,3,0,nc
4/15/20,51510,Alexandria city,Virginia,254,6,va
4/15/20,40003,Alfalfa,Oklahoma,1,0,ok
4/15/20,19005,Allamakee,Iowa,24,2,ia
4/15/20,26005,Allegan,Michigan,25,0,mi
4/15/20,24001,Allegany,Maryland,17,1,md
4/15/20,36003,Allegany,New York,28,0,ny
4/15/20,37005,Alleghany,North Carolina,2,0,nc
4/15/20,51005,Alleghany,Virginia,4,0,va
4/15/20,42003,Allegheny,Pennsylvania,904,26,pa
4/15/20,18003,Allen,Indiana,180,15,in
4/15/20,21003,Allen,Kentucky,3,0,ky
4/15/20,22003,Allen,Louisiana,74,8,la
4/15/20,39003,Allen,Ohio,51,4,oh
4/15/20,45005,Allendale,South Carolina,5,0,sc
4/15/20,26007,Alpena,Michigan,1,0,mi
4/15/20,6003,Alpine,California,2,0,ca
4/15/20,6005,Amador,California,6,0,ca
4/15/20,51007,Amelia,Virginia,10,0,va
4/15/20,51009,Amherst,Virginia,10,0,va
4/15/20,28005,Amite,Mississippi,15,1,ms
